NOME_INSTITUICAO;SEGMENTO;PREFIXO;NOME_AGENCIA;ENDERECO;COMPLEMENTO ;BAIRRO;CEP;MUNICIPIO ;UF;DATA INICIO;DDD;FONE
CAIXA ECONOMICA FEDERAL ;Caixa Econômica Federal ;4912;ALTO DO RODRIGUES ;AV ANGELO VARELA, S/N ;;CENTRO;59507-000;ALTO DO RODRIGUES ;RN;30/11/2012;84;32039100
CAIXA ECONOMICA FEDERAL ;Caixa Econômica Federal ;4913;PEDRAS DO FOGO, PB;R FERNANDO CABRAL, 196;;CENTRO;58328-000;PEDRAS DE FOGO;PB;30/07/2013;83;32164300
CAIXA ECONOMICA FEDERAL ;Caixa Econômica Federal ;4914;BESSA, PB ;R FRANCISCO LEOCADIO RIBEIRO COUTINHO, S;;AEROCLUBE ;58036-450;JOAO PESSOA ;PB;25/01/2013;83;32164300
CAIXA ECONOMICA FEDERAL ;Caixa Econômica Federal ;4915;BANCÁRIOS ;R BANCARIO SERGIO GUERRA, 17;;BANCARIOS ;58051-255;JOAO PESSOA ;PB;25/01/2013;83;32164300
CAIXA ECONOMICA FEDERAL ;Caixa Econômica Federal ;4916;PICUI, PB ;R SAO SEBASTIAO, S/N;;CENTRO;58187-000;PICUI ;PB;07/12/2012;83;32164300
CAIXA ECONOMICA FEDERAL ;Caixa Econômica Federal ;4917;SAO BENTO DA PARAIBA, PB;R JOAQUIM FERREIRA LUCIO, ;;CENTRO;58865-000;SAO BENTO ;PB;20/12/2012;83;32164300
CAIXA ECONOMICA FEDERAL ;Caixa Econômica Federal ;4982;PORTAL DO SERTAO, PB;R PRES.EPITACIO PESSOA, ;;CENTRO;58700-020;PATOS ;PB;26/12/2012;83;32164300
CAIXA ECONOMICA FEDERAL ;Caixa Econômica Federal ;0220;BAIRRO DE JAGUARIBE/PB;RUA PREFEITO OSVALDO PESSOA,;;JAGUARIBE ;58000-000;JOAO PESSOA ;PB;26/12/2012;83;32164300
CAIXA ECONOMICA FEDERAL ;Caixa Econômica Federal ;1953;REIS MAGOS/RN ;AV FRONTEIRAS S/N ;;POTENGI ;59108-355;NATAL ;RN;19/11/2013;84;32039100
CAIXA ECONOMICA FEDERAL ;Caixa Econômica Federal ;2380;TERRA DA LIBERDADE RN ;AV PRES.DUTRA ;;ALTO DE SAO MANOEL;59628-000;MOSSORO ;RN;25/08/2014;84;32039100
CAIXA ECONOMICA FEDERAL ;Caixa Econômica Federal ;1859;EXTREMOZ, RN;R JOAQUIM GOES, S/N ;;CENTRO;59575-000;EXTREMOZ;RN;09/09/2013;84;32039100
CAIXA ECONOMICA FEDERAL ;Caixa Econômica Federal ;3348;TIBIRI;RUA DEPUTADO SOARES MADRUGA, LOTE 1-A - ;LOTEAMENTO JARDIM EUROPA II ;MUNICIPIOS;58303-355;SANTA RITA;PB;28/12/2015;83;32164300
BANCO INTER S.A.;Banco Múltiplo;0077;AGÊNCIA ;AV PRUDENTE DE MORAIS ;LOJA 08 ;LAGOA SECA;59022-305;NATAL ;RN;01/06/2014;31;21017000
BV FINANCEIRA S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO;Sociedade de Crédito, Financiamento e Investimento;0000;NATAL ;RUA JOÃO PESSOA ;SALA Nº 05, ED. DUCAL CENTER PALACE ;CIDADE ALTA ;59025-500;NATAL ;RN;19/09/2013;84;40096922
BV FINANCEIRA S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO;Sociedade de Crédito, Financiamento e Investimento;0000;FILIAL DE JOÃO PESSOA ;AVENIDA SENADOR RUY CARNEIRO;"1º ANDAR, ""SALA BV"" ";BRISAMAR;58032-100;JOAO PESSOA ;PB;15/09/2015;11;51711000
BV FINANCEIRA S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO;Sociedade de Crédito, Financiamento e Investimento;0000;AUTOSHOPPING CAMPINA GRANDE ;AV. PREFEITO SEVERINO CABRAL;SALA 20 ;JOSE PINHEIRO ;58407-475;CAMPINA GRANDE;PB;11/09/2019;83;981666999
BV FINANCEIRA S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO;Sociedade de Crédito, Financiamento e Investimento;0000;AUTOSHOPPING CABEDELO ;RODOVIA BR-230;EDIF. SHOPPING DO AUTOMOVEL, SALA 04;PARQUE VERDE;52102-800;CABEDELO;PB;11/09/2019;83;981666999
BANCO DO NORDESTE DO BRASIL S.A.;Banco Múltiplo;0002;ALAGOA GRANDE ;PRACA CEL ELISIO SOBREIRA, S/N;;CENTRO;58388-000;ALAGOA GRANDE ;PB;17/05/1964;83;32732284
BANCO DO NORDESTE DO BRASIL S.A.;Banco Múltiplo;0004;ANGICOS ;RUA VEREADOR JOAQUIM BERNARDO ;;CENTRO;59515-000;ANGICOS ;RN;02/01/1959;84;35312146
BANCO DO NORDESTE DO BRASIL S.A.;Banco Múltiplo;0009;CAMPINA GRANDE;RUA 7 DE SETEMBRO ;ED. CRIST. LAUNIZEN ;CENTRO;58400-105;CAMPINA GRANDE;PB;07/02/1955;83;33411588
BANCO DO NORDESTE DO BRASIL S.A.;Banco Múltiplo;0012;CATOLE DO ROCHA ;AV. DEPUTADO AMERICO MAIA ;;CENTRO;58884-000;CATOLE DO ROCHA ;PB;07/11/1959;83;34411012
BANCO DO NORDESTE DO BRASIL S.A.;Banco Múltiplo;0020;GUARABIRA ;RUA DOM PEDRO II;;CENTRO;58200-000;GUARABIRA ;PB;16/11/1960;83;32713616
BANCO DO NORDESTE DO BRASIL S.A.;Banco Múltiplo;0023;ITAPORANGA;AV. IRINEU RODRIGUES DA SILVA ;;CENTRO;58780-000;ITAPORANGA;PB;02/01/1958;83;34512421
BANCO DO NORDESTE DO BRASIL S.A.;Banco Múltiplo;0026;JARDIM DO SERIDO;RUA DR. OTAVIO LAMARTINE;ED. J. MEDEIROS ;CENTRO;59343-000;JARDIM DO SERIDO;RN;18/05/1964;84;34722261
BANCO DO NORDESTE DO BRASIL S.A.;Banco Múltiplo;0028;JOAO PESSOA CENTRO;RUA GAMA E MELO ;;VARADOURO ;58010-450;JOAO PESSOA ;PB;30/08/1954;83;32182900
BANCO DO NORDESTE DO BRASIL S.A.;Banco Múltiplo;0033;MOSSORO ;PRACA GETULIO VARGAS;;CENTRO;59600-115;MOSSORO ;RN;10/02/1958;84;33163023
BANCO DO NORDESTE DO BRASIL S.A.;Banco Múltiplo;0035;NATAL TIROL ;AV PRUDENTE DE MORAIS ;;CIDADE ALTA ;59020-505;NATAL ;RN;31/08/1954;84;32201700
BANCO DO NORDESTE DO BRASIL S.A.;Banco Múltiplo;0039;PAU DOS FERROS;PRACA DA MATRIZ ;ED. MANOEL REGINALDO;CENTRO;59900-000;PAU DOS FERROS;RN;01/10/1957;84;33512111
BANCO DO NORDESTE DO BRASIL S.A.;Banco Múltiplo;0047;SANTA CRUZ;RUA MANOEL CICERO DE LIMA, 95 ;;CENTRO;59200-000;SANTA CRUZ;RN;12/11/1960;84;32912118
BANCO DO NORDESTE DO BRASIL S.A.;Banco Múltiplo;0053;SOUSA ;RUA CEL JOSE GOMES DE SA, 5 ;;CENTRO;58800-050;SOUSA ;PB;02/01/1959;83;35222730
BANCO DO NORDESTE DO BRASIL S.A.;Banco Múltiplo;0061;SANTO ANTONIO ;AV. LINDOLFO GOMES VIDAL, 360 ;;CENTRO;59255-000;SANTO ANTONIO ;RN;16/09/1968;84;32822232
BANCO DO NORDESTE DO BRASIL S.A.;Banco Múltiplo;0067;PATOS ;AV. SOLON LUCENA;;CENTRO;58700-004;PATOS ;PB;30/01/1969;83;34213305
BANCO DO NORDESTE DO BRASIL S.A.;Banco Múltiplo;0087;MACAU ;RUA MARTINS FERREIRA;ED. DJALMA A. MARINHO ;CENTRO;59500-000;MACAU ;RN;03/07/1978;84;35211228
BANCO DO NORDESTE DO BRASIL S.A.;Banco Múltiplo;0091;CAJAZEIRAS;RUA PADRE ROLIM ;;CENTRO;58900-000;CAJAZEIRAS;PB;09/10/1978;83;35314393
BANCO DO NORDESTE DO BRASIL S.A.;Banco Múltiplo;0097;SOLANEA ;PRACA 26 DE NOVEMBRO, 25;ED. SAMUEL DUARTE ;CENTRO;58225-000;SOLANEA ;PB;27/11/1978;83;33632304
BANCO DO NORDESTE DO BRASIL S.A.;Banco Múltiplo;0100;CURRAIS NOVOS ;AV. DR SILVIO BEZERRA DE MELO ;;CENTRO;59380-000;CURRAIS NOVOS ;RN;26/01/1979;84;34121800
BANCO DO NORDESTE DO BRASIL S.A.;Banco Múltiplo;0101;CAICO ;AV. CEL. MARTINIANO ;;CENTRO;59300-000;CAICO ;RN;09/02/1979;84;34212370
BANCO DO NORDESTE DO BRASIL S.A.;Banco Múltiplo;0112;APODI ;MARECHAL FLORIANO PEIXOTO ;;CENTRO;59700-000;APODI ;RN;12/11/1979;84;3332020
BANCO DO NORDESTE DO BRASIL S.A.;Banco Múltiplo;0115;ACU ;PRAÇA PEDRO VELHO ;;CENTRO;59650-000;ACU ;RN;12/11/1979;84;33313379
BANCO DO NORDESTE DO BRASIL S.A.;Banco Múltiplo;0141;SUME;RUA AUGUSTO SANTA CRUZ, 144 ;;CENTRO;58540-000;SUME;PB;03/05/1982;83;33532286
BANCO DO NORDESTE DO BRASIL S.A.;Banco Múltiplo;0164;POMBAL;RUA PE. AMANCIO LEITE, 35 ;;CENTRO;58840-000;POMBAL;PB;30/03/1983;83;34312403
BANCO DO NORDESTE DO BRASIL S.A.;Banco Múltiplo;0172;SAPE;AV. COMENDADOR RENATO RIBEIRO COUTINHO;1055;CENTRO;58340-000;SAPE;PB;11/02/1985;83;32832433
BANCO DO NORDESTE DO BRASIL S.A.;Banco Múltiplo;0183;NATAL-PRUDENTE DE MORAIS;AV. PRUDENTE DE MORAIS;;LAGOA NOVA;59056-200;NATAL ;RN;19/02/1990;84;32134074
BANCO DO NORDESTE DO BRASIL S.A.;Banco Múltiplo;0185;JOAO PESSOA-EPITÁCIO PESSOA ;AV. PRESIDENTE EPITACIO PESSOA;;BAIRRO DA TORRE ;58040-000;JOAO PESSOA ;PB;02/12/1991;83;32443558
BANCO DO NORDESTE DO BRASIL S.A.;Banco Múltiplo;2150;PARNAMIRIM - RN ;AV. TENENTE MEDEIROS;;CENTRO;59140-020;PARNAMIRIM;RN;28/05/2010;84;36447800
BANCO DO NORDESTE DO BRASIL S.A.;Banco Múltiplo;0225;JOÃO PESSOA CIDADE UNIVERSITÁRIA;RUA WALFREDO MACEDO BRANDAO ;;JARDIM CIDADE UNIVERSITARIA ;58052-200;JOAO PESSOA ;PB;26/02/2013;83;32359674
BANCO DO NORDESTE DO BRASIL S.A.;Banco Múltiplo;0226;SANTA RITA;R JOAO RIBEIRO COUTINHO ;;CENTRO;58300-230;SANTA RITA;PB;08/02/2013;83;32292118
BANCO DO NORDESTE DO BRASIL S.A.;Banco Múltiplo;0236;CEARA- MIRIM;R HERACLITO VILLAR, SN;;CENTRO;59570-000;CEARA-MIRIM ;RN;26/03/2013;84;32740737
BANCO DO NORDESTE DO BRASIL S.A.;Banco Múltiplo;0248;NATAL ROBERTO FREIRE;AVENGENHEIRO ROBERTO FREIRE ;;CAPIM MACIO ;59082-095;NATAL ;RN;28/12/2012;84;36424104
BANCO DO NORDESTE DO BRASIL S.A.;Banco Múltiplo;0258;MACAIBA ;RUA NOSSA SENHORA APARECIDA II;TAVARES DE LIRA ;CENTRO;59280-000;MACAIBA ;RN;30/12/2013;84;32715333
BANCO DO NORDESTE DO BRASIL S.A.;Banco Múltiplo;0266;SÃO GONÇALO DO AMARANTE ;R BENEDITO SANTANA;;GANCHO DO IGAPO ;59290-000;SAO GONCALO DO AMARANTE ;RN;28/02/2014;84;32785600
BANCO DO NORDESTE DO BRASIL S.A.;Banco Múltiplo;0269;UMARIZAL;RUA PORCINO COSTA ;;CENTRO;59865-000;UMARIZAL;RN;30/12/2013;84;99650014
BANCO DO NORDESTE DO BRASIL S.A.;Banco Múltiplo;0293;BAYEUX;AV. LIBERDADE ;;CENTRO;58306-000;BAYEUX;PB;29/01/2014;83;32323115
BANCO DO NORDESTE DO BRASIL S.A.;Banco Múltiplo;0301;JOAO CAMARA ;RUA MARIA DE FATIMA RAFAEL DE FREITAS ;;CENTRO;59550-000;JOAO CAMARA ;RN;03/04/2014;84;32622271
BANCO DO NORDESTE DO BRASIL S.A.;Banco Múltiplo;0327;CABEDELO;R JOÃO VITALIANO;;PONTA DE MATOS;58100-683;CABEDELO;PB;07/11/2014;83;32169400
BANCO DO NORDESTE DO BRASIL S.A.;Banco Múltiplo;0328;PICUÍ ;R SAO SEBASTIAO ;;CENTRO;58187-000;PICUI ;PB;27/08/2014;83;33712621
BANCO DO NORDESTE DO BRASIL S.A.;Banco Múltiplo;0329;GOIANINHA ;RUA VIGÁRIO ANTONIO MONTENEGRO;;CENTRO;59173-000;GOIANINHA ;RN;16/02/2016;84;32433236
BANCO DO NORDESTE DO BRASIL S.A.;Banco Múltiplo;0350;MONTEIRO;AVOLIMPIO GOMES, SN ;;CENTRO;58500-000;MONTEIRO;PB;09/06/2016;83;33532286
BANCO MERCANTIL DO BRASIL S.A.;Banco Múltiplo;0404;NATAL ;AVENIDA PRUDENTE DE MORAES;;LAGOA SECA;59022-310;NATAL ;RN;11/12/2017;84;30928960
BANCO SAFRA S.A.;Banco Múltiplo;0161;NATAL ;AVENIDA PRUDENTE DE MORAIS, 2936;;LAGOA SECA;59020-510;NATAL ;RN;08/08/2005;84;4005370651
BANCO SAFRA S.A.;Banco Múltiplo;0212;JOAO PESSOA ;AVENIDA PRESIDENTE EPITÁCIO PESSOA;;PEDRO GONDIM;58031-003;JOAO PESSOA ;PB;07/12/2016;83;30344051
ITAÚ UNIBANCO S.A.;Banco Múltiplo;0374;CAMPINA GRANDE-PB ;RUA SETE DE SETEMBRO, 26;;CENTRO;58100-030;CAMPINA GRANDE;PB;25/06/1968;11;30034828
ITAÚ UNIBANCO S.A.;Banco Múltiplo;0372;JOAO PESSOA-PB;RUA DUQUE DE CAXIAS, 524;;CENTRO;58010-821;JOAO PESSOA ;PB;08/04/1970;11;30034828
ITAÚ UNIBANCO S.A.;Banco Múltiplo;0382;NATAL-RN;AV. RIO BRANCO, 521 ;;CENTRO;59025-001;NATAL ;RN;19/09/1964;11;30034828
ITAÚ UNIBANCO S.A.;Banco Múltiplo;1339;NATAL/BAIRRO ALECRIN;AV. PRESIDENTE BANDEIRA, 670;;ALECRIM ;59031-200;NATAL ;RN;17/10/1985;11;30034828
ITAÚ UNIBANCO S.A.;Banco Múltiplo;1468;MOSSORO-RN;AV. AUGUSTO SEVERO, 57;;CENTRO;59600-150;MOSSORO ;RN;23/12/1985;11;30034828
ITAÚ UNIBANCO S.A.;Banco Múltiplo;1449;JOAO PESSOA/EPITACIO;AV. EPITACIO PESSOA,;;DOS ESTADOS ;58030-001;JOAO PESSOA ;PB;29/09/1988;11;30034828
ITAÚ UNIBANCO S.A.;Banco Múltiplo;1650;NATAL/PRUDENTE DE MORAES;AV. PRUDENTE DE MORAES, 1469;;PETROPOLIS;59020-400;NATAL ;RN;20/01/1992;11;30034828
ITAÚ UNIBANCO S.A.;Banco Múltiplo;2746;PARNAMIRIM- RN;AV. BRIGADEIRO EVERALDO BREVES, 260 ;;CENTRO;59140-200;PARNAMIRIM;RN;05/04/1999;11;30034828
ITAÚ UNIBANCO S.A.;Banco Múltiplo;5579;JOÃO PESSOA-MANAÍRA ;AV. GOV. FLÁVIO RIBEIRO COUTINHO, 106 ;;MANAÍRA ;58037-000;JOAO PESSOA ;PB;19/10/2004;11;30034828
ITAÚ UNIBANCO S.A.;Banco Múltiplo;6530;NATAL/PONTA NEGRA ;AV. ENGº ROBERTO FREIRE ;;CAPIM MACIO ;59078-600;NATAL ;RN;30/12/2005;11;30034828
ITAÚ UNIBANCO S.A.;Banco Múltiplo;6998;SÃO GONÇALO DO AMARANTE/IGAPÓ ;AV. BEL TOMAZ LANDIN, 506 ;;LOTEAMENTO JD. LOLA ;59290-000;SAO GONCALO DO AMARANTE ;RN;12/06/2007;11;30034828
ITAÚ UNIBANCO S.A.;Banco Múltiplo;7024;PERSONNALITÉ NATAL;AV. AFONSO PENA, 611;PARTE ;TIROL ;59020-100;NATAL ;RN;28/05/2007;11;30034828
ITAÚ UNIBANCO S.A.;Banco Múltiplo;7730;BAYEUX (PB) ;AV. LIBERDADE, 3.350;;SESI;58306-000;BAYEUX;PB;15/04/2009;11;30034828
ITAÚ UNIBANCO S.A.;Banco Múltiplo;8210;JOÃO PESSOA PARQUE SOLON;PARQUE SOLON DE LUCENA, Nº 43 ;ANEXO - PARTE ;CENTRO;58013-131;JOAO PESSOA ;PB;09/11/2009;11;30034828
ITAÚ UNIBANCO S.A.;Banco Múltiplo;8757;JOÃO PESSOA/GEOVANI MELO;RUA GEOVANI MARINHO DE MELO, 323;ANEXO - PARTE ;MANGABEIRA;58056-350;JOAO PESSOA ;PB;07/12/2009;11;30034828
ITAÚ UNIBANCO S.A.;Banco Múltiplo;9179;JOAO PESSOA PRESIDENTE;AV PRESIDENTE EPITACIO PESSOA, 3007 ;ANEXO PARTE ;ESTADOS ;58030-002;JOAO PESSOA ;PB;09/11/2009;11;30034828
ITAÚ UNIBANCO S.A.;Banco Múltiplo;8497;CAMPINA GRANDE JOÃO PESSOA;RUA PRESIDENTE JOÃO PESSOA, Nº 59 ;PARTE ;CENTRO;58400-002;CAMPINA GRANDE;PB;09/11/2009;11;30034828
ITAÚ UNIBANCO S.A.;Banco Múltiplo;8512;MOSSORO CENTRO;AVENIDA ALBERTO MARANHÃO, Nº 1855 ;PARTE ;CENTRO;59600-195;MOSSORO ;RN;09/11/2009;11;30034828
ITAÚ UNIBANCO S.A.;Banco Múltiplo;8380;NATAL CORONEL ESTEVAM ;AVENIDA CORONAL ESTAVAM ;;ALECRIM ;59037-000;NATAL ;RN;09/11/2009;11;30034828
ITAÚ UNIBANCO S.A.;Banco Múltiplo;7123;NATAL POTIGUAR;RUA JOAO PESSOA, 204;PARTE ;CIDADE ALTA ;59025-500;NATAL ;RN;16/11/2009;11;30034828
ITAÚ UNIBANCO S.A.;Banco Múltiplo;9314;NATAL/PRUDENTE DE MORAIS;AV. PRUDENTE DE MORAIS, 3488;PARTE ;LAGOA NOVA;59054-700;NATAL ;RN;16/11/2009;11;30034828
ITAÚ UNIBANCO S.A.;Banco Múltiplo;7833;PATOS-PB;RUA PRESIDENTE EPITÁCIO PESSOA, 247 ;;CENTRO;58700-020;PATOS ;PB;30/12/2010;11;30034828
ITAÚ UNIBANCO S.A.;Banco Múltiplo;4986;CABEDELO (PB) ;AV. MAR VERMELHO, 161 ;;INTERMARES;58310-000;CABEDELO;PB;17/02/2011;11;30034828
ITAÚ UNIBANCO S.A.;Banco Múltiplo;6781;CAJAZEIRAS (PB) ;RUA CEL. JUVENCIO CARNEIRO, 356 ;;CENTRO;58900-000;CAJAZEIRAS;PB;21/12/2011;11;30034828
ITAÚ UNIBANCO S.A.;Banco Múltiplo;6685;SOUSA-PB;RUA CEL JOSE GOMES DE SA;;CENTRO;58800-050;SOUSA ;PB;30/04/2012;11;30034828
ITAÚ UNIBANCO S.A.;Banco Múltiplo;9056;PERSONNALITÉ JOÃO PESSOA;RUA EUTIQUIANO BARRETO;ESQ COM A V. GAL EDSON RAMALHO;MANAIRA ;58038-310;JOAO PESSOA ;PB;24/04/2013;11;30034828
BANCO BRADESCO S.A. ;Banco Múltiplo;0321;NATAL, CENTRO, RN ;AV. RIO BRANCO, 477 ;;CENTRO;59025-001;NATAL ;RN;07/12/1967;84;32204900
BANCO BRADESCO S.A. ;Banco Múltiplo;0435;JOAO PESSOA, CENTRO, PB ;RUA DUQUE DE CAXIAS, 401;;CENTRO;58010-821;JOAO PESSOA ;PB;09/11/1968;83;32412008
BANCO BRADESCO S.A. ;Banco Múltiplo;0493;CAMPINA GRANDE, CENTRO, PB;RUA MARQUES DO HERVAL, 129;;CENTRO;58100-020;CAMPINA GRANDE;PB;01/11/1968;83;33413600
BANCO BRADESCO S.A. ;Banco Múltiplo;3224;ALECRIM,URB.NATAL, RN ;RUA PRESIDENTE BANDEIRA, 510;;ALECRIM ;59031-200;NATAL ;RN;06/12/1973;84;32136545
BANCO BRADESCO S.A. ;Banco Múltiplo;3226;MOSSORO, CENTRO, RN ;RUA CEL VICENTE SABOIA, 74;;CENTRO;59600-970;MOSSORO ;RN;06/12/1973;84;33163232
BANCO BRADESCO S.A. ;Banco Múltiplo;0793;BELEM, PB ;R FELICIANO PEDROSA ;;CENTRO;58255-000;BELEM ;PB;21/06/1978;83;32611224
BANCO BRADESCO S.A. ;Banco Múltiplo;0906;SANTA CRUZ;RUA COSME FERREIRA MARQUES, 108 ;;CENTRO;59200-000;SANTA CRUZ;RN;18/12/1978;0;0
BANCO BRADESCO S.A. ;Banco Múltiplo;0995;SAO GONCALO DO AMARANTE ;RUA BACHAREL TOMAZ LANDIM, 514;;JARDIM LOLA ;59290-000;SAO GONCALO DO AMARANTE ;RN;01/06/1979;0;0
BANCO BRADESCO S.A. ;Banco Múltiplo;1038;CAICO ;AV. SERIDO, 533 ;;CENTRO;59300-000;CAICO ;RN;17/08/1979;0;11049
BANCO BRADESCO S.A. ;Banco Múltiplo;1044;ASSU;AV. SENADOR JOAO CAMARA, 194;;CENTRO;59650-000;ACU ;RN;14/12/1979;0;0
BANCO BRADESCO S.A. ;Banco Múltiplo;1042;SAO BENTO, PB ;RUA DR. FRANCISCO FEITOSA, 211;;CENTRO;58865-000;SAO BENTO ;PB;12/10/1979;83;34441786
BANCO BRADESCO S.A. ;Banco Múltiplo;1053;CAJAZEIRAS, PB;RUA PADRE ROLIM ;;CENTRO;58900-000;CAJAZEIRAS;PB;05/10/1979;83;35314324
BANCO BRADESCO S.A. ;Banco Múltiplo;1563;PATOS - PB;RUA PEDRO FIRMINO ;131 E 139 ;CENTRO;58700-330;PATOS ;PB;14/05/1985;0;0
BANCO BRADESCO S.A. ;Banco Múltiplo;1594;SOUSA ;R CONEGO JOSE VIANA ;;ESTACAO ;58807-320;SOUSA ;PB;15/05/1985;0;0
BANCO BRADESCO S.A. ;Banco Múltiplo;1729;EPITACIO PESSOA,URB.JOAO PESSOA, PB ;AV. EPITACIO PESSOA, 2760 ;;TAMBAUZINHO ;58040-000;JOAO PESSOA ;PB;02/12/1985;83;32441471
BANCO BRADESCO S.A. ;Banco Múltiplo;2007;GUARABIRA ;AV. DOM PEDRO II;344 E 354 ;CENTRO;58200-000;GUARABIRA ;PB;22/09/1986;0;0
BANCO BRADESCO S.A. ;Banco Múltiplo;2009;MAMANGUAPE;RUA CORONEL BATISTA CARNEIRO, ;;CENTRO;58280-000;MAMANGUAPE;PB;15/09/1986;0;0
BANCO BRADESCO S.A. ;Banco Múltiplo;2010;SANTA RITA;AV GOV FLAVIO RIBEIRO COUTINHO;;CENTRO;58300-220;SANTA RITA;PB;24/10/1986;0;0
BANCO BRADESCO S.A. ;Banco Múltiplo;2105;BAYEUX;AV. LIBERDADE ;LOJA 06 ;SESI;58306-000;BAYEUX;PB;13/04/1987;0;1340694
BANCO BRADESCO S.A. ;Banco Múltiplo;2108;CRUZ DAS ARMAS,URB.JOAO PESSOA, PB;AV. CRUZ DAS ARMAS, 828 ;;CRUZ DAS ARMAS;58085-000;JOAO PESSOA ;PB;23/02/1987;83;2425776
